Question,true_answer,predicted_answer,correct,raw_response
"Will Pharnext announce positive topline results from its PREMIER Phase 3 clinical trial of PXT3003 for CMT1A by December 31, 2023?",0,1,False,"1

Explanation: The PREMIER Phase"
"Will Sarepta Therapeutics release results from its randomized trial of the gene therapy Elevidys in patients with Duchenne muscular dystrophy by December 31, 2023?",1,1,True,1
"Will EIP Pharma (CervoMed) complete its Phase 2b clinical trial of neflamapimod for dementia with Lewy bodies by December 31, 2024?",1,1,True,"1

Explanation: EIP Pharma (C"
"Will argenx SE receive FDA approval for VYVGART Hytrulo in the treatment of chronic inflammatory demyelinating polyneuropathy (CIDP) by June 30, 2024?",1,1,True,"1

Explanation: The FDA has accepted the"
"Will Capricor Therapeutics report top-line data from Cohort A of the Phase 3 HOPE-3 clinical trial for CAP-1002 by December 31, 2024?",0,1,False,1
"Will the FDA approve AbbVie's Rinvoq (upadacitinib) for the treatment of Crohn's disease by December 31, 2023?",1,1,True,1
"Will Reata Pharmaceuticals' Skyclarys (omaveloxolone) receive European regulatory approval for the treatment of Friedreich's ataxia by March 31, 2024?",1,1,True,1
"Will Biogen begin patient screening for its Phase 4 confirmatory study of ADUHELM (aducanumab-avwa) by May 31, 2022?",0,1,False,"1

Explanation: Biogen announced on May"
"Will AbbVie's Rinvoq (upadacitinib) receive FDA approval for the treatment of alopecia areata by December 31, 2025?",0,1,False,1
"Will UCB's Bimzelx (bimekizumab-bkzx) be commercially available for the treatment of plaque psoriasis in the United States by November 30, 2023?",1,1,True,1
"Will ImmunityBio initiate a randomized registrational trial for Anktiva in BCG-unresponsive non-muscle-invasive bladder cancer with high-grade papillary disease by December 31, 2025?",0,1,False,1
"Will Invex Therapeutics' Phase 3 IIH EVOLVE trial for Presendin meet its primary endpoint of reduction in intracranial pressure (ICP) by December 31, 2025?",0,1,False,"1
Explanation: The EVOLVE trial is"
"Will Merck's pembrolizumab in combination with chemotherapy followed by olaparib maintenance receive FDA approval for the treatment of advanced ovarian cancer by December 31, 2025?",0,1,False,1
"Will the FDA approve Eli Lilly's Alzheimer's drug donanemab for the treatment of early symptomatic Alzheimer's disease by July 31, 2024?",1,1,True,1
"Will AstraZeneca's Phase 3 ADRIATIC trial for Imfinzi (durvalumab) result in FDA approval for limited-stage small cell lung cancer by December 31, 2024?",1,1,True,1
"Will Stalicla initiate a Phase 3 clinical trial of mavoglurant for cocaine-use disorder by June 30, 2024?",0,1,False,"1

Explanation: The FDA has granted Fast"
"Will PharmaTher Holdings initiate a Phase 3 clinical trial of Ketarx (ketamine) for levodopa-induced dyskinesia in Parkinson’s disease patients by December 31, 2025?",0,1,False,"1

Explanation: The FDA has granted Fast"
"Will Kodiak Sciences initiate a Phase 2 clinical trial for KSI-501 in patients with diabetic macular edema by December 31, 2024?",0,1,False,1
"Will Capillary Biomedical's pivotal trial for the SteadiFlow seven-day-wear infusion set complete data collection by December 31, 2024?",1,1,True,1
