Question,Answer,Confidence,Valid
"Will Acadia Pharmaceuticals announce that the Phase 3 ADVANCE-2 trial of pimavanserin for the treatment of negative symptoms of schizophrenia met its primary endpoint by December 31, 2024?",0,1.0,True
"Will the FDA grant full approval to a targeted anti-cancer biologic based on Phase 3 overall survival (OS) data by December 31, 2024?",1,1.0,True
"Will Decibel Therapeutics initiate its Phase 1/2 clinical trial of the gene therapy DB-OTO in pediatric patients by December 31, 2024?",1,1.0,True
"Will Alumis (formerly Esker Therapeutics) announce that ESK-001 met its primary endpoint in its Phase 3 clinical trial for moderate-to-severe plaque psoriasis by December 31, 2025?",0,1.0,True
"Will the European Medicines Agency (EMA) approve Bristol Myers Squibb's Sotyktu (deucravacitinib) for the treatment of moderate-to-severe plaque psoriasis by June 30, 2023?",1,1.0,True
"Will Upstream Bio announce that its Phase 2 VALIANT clinical trial of verekitug (UPB-101) in severe asthma met its primary endpoint by June 30, 2025?",0,1.0,True
"Will scPharmaceuticals receive FDA approval for Furoscix (furosemide injection) for an expanded indication of pediatric heart failure by December 31, 2025?",1,1.0,True
"Will PTC Therapeutics and Novartis announce that the PTC518 Huntington's disease program has met its primary endpoints in the PIVOT-HD Phase 2 trial by December 31, 2025?",1,1.0,True
"Will Intrinsic Medicine initiate its Phase 2 trial for its lead candidate in constipation dominant irritable bowel syndrome (IBS-C) by June 30, 2023?",0,0.9,True
"Will Boehringer Ingelheim announce the initiation of a Phase 3 clinical trial for BI-765128 in diabetic retinopathy by December 31, 2025?",0,1.0,True
"Will Direct Biologics announce that its Phase 3 EXTINGUISH ARDS trial for ExoFlo met its primary endpoint by December 31, 2025?",0,1.0,True
"Will Ionis Pharmaceuticals announce that its Phase 3 CORE trial of olezarsen for severe hypertriglyceridemia met its primary endpoint by June 30, 2025?",0,1.0,True
"Will the FDA approve Takeda and HUTCHMED’s fruquintinib for the treatment of adult patients with metastatic colorectal cancer by December 31, 2023?",1,1.0,True
"Will the FDA approve CRISPR Therapeutics and Vertex Pharmaceuticals' exa-cel (casgevy) for the treatment of sickle cell disease by December 31, 2023?",1,1.0,True
"Will the FDA approve Eli Lilly and Boehringer Ingelheim's Jardiance for the treatment of adults with heart failure independent of left ventricular ejection fraction by February 28, 2022?",1,1.0,True
"Will Novo Nordisk submit a New Drug Application (NDA) to the FDA for CagriSema for the treatment of obesity by December 31, 2025?",1,1.0,True
"Will the FDA approve Bayer's elinzanetant for the treatment of moderate-to-severe vasomotor symptoms associated with menopause by December 31, 2025?",1,1.0,True
"Will the FDA approve Eli Lilly's donanemab for the treatment of early symptomatic Alzheimer's disease by December 31, 2024?",1,1.0,True
"Will Ocular Therapeutix's drug AXPAXLI receive FDA approval for the treatment of wet age-related macular degeneration (wet AMD) by December 31, 2026?",0,0.95,True
"Will the FDA approve a specific genetic test for dihydropyrimidine dehydrogenase (DPD) deficiency as a companion diagnostic for fluorouracil by December 31, 2025?",0,0.9,True
"Will Biogen's Phase 3 trial of lecanemab meet its primary endpoint for slowing cognitive decline in Alzheimer's disease patients by December 31, 2022?",1,1.0,True
"Will the FDA approve Servier's vorasidenib for the treatment of IDH-mutant diffuse glioma by December 31, 2024?",1,1.0,True
"Will Sanofi or Provention Bio announce FDA approval of Tzield (teplizumab) for the prevention of Type 1 diabetes in children under 8 years of age by December 31, 2025?",0,1.0,True
"Will the FDA approve Vertex Pharmaceuticals and CRISPR Therapeutics' exa-cel for sickle cell disease by December 31, 2023?",1,1.0,True
"Will Altesa BioSciences announce that vapendavir met its primary endpoints in its Phase 2b clinical trial for COPD by December 31, 2025?",0,1.0,True
"Will Roche announce the initiation of a Phase 2 clinical trial for its dual GLP-1/GIP receptor agonist CT-388 by December 31, 2024?",1,0.9,True
